排序,搜索起始_rx_度,搜索起始_ry_度,搜索起始_rz_度,收敛结束_rx_度,收敛结束_ry_度,收敛结束_rz_度,最终平移_x_米,最终平移_y_米,最终平移_z_米,覆盖程度,loss
23,225.0,315.0,0.0,41.99414898565643,-62.7159582929283,-116.3454236419248,0.23546865410928045,0.401740092407307,-0.8425874785938663,0.0068,0.005997137563085328
24,45.0,225.0,180.0,41.99414898565641,-62.715958292928285,-116.34542364192477,0.2354686541092804,0.4017400924073075,-0.842587478593866,0.0068,0.005997137563085354
25,270.0,225.0,180.0,-116.59396687214559,-70.7237351826222,-106.87155691463414,0.09966750950155072,0.37733571215049266,-0.8417050877010142,0.0066,0.005998870574743109
26,90.0,315.0,0.0,-116.59396687214559,-70.7237351826222,-106.87155691463427,0.09966750950155143,0.3773357121504933,-0.8417050877010167,0.0066,0.00599887057474316
27,315.0,225.0,180.0,-128.36704762620366,-72.12210570293632,-100.90227181101497,0.06528365748954093,0.3622932915647722,-0.8581988565520653,0.00645,0.005334460437333969
28,135.0,315.0,0.0,-128.36704762620317,-72.12210570293637,-100.90227181101508,0.06528365748954101,0.36229329156477086,-0.8581988565520644,0.00645,0.005334460437333971
29,0.0,225.0,180.0,-132.8629073719916,-71.92455255656272,-91.85525467146762,0.010757716530946117,0.36830163878638517,-0.8588274766604391,0.0059,0.0052579937905290015
30,180.0,315.0,0.0,-132.86290737199158,-71.92455255656272,-91.85525467146768,0.010757716530946308,0.368301638786385,-0.8588274766604393,0.0059,0.0052579937905290084
31,0.0,45.0,0.0,-11.762568422209357,14.899894797417582,-124.722097186291,0.004418506526151318,0.4347629105294054,-0.8110949428861234,0.0058,0.00577424380037924
32,180.0,135.0,180.0,-11.762568422209455,14.89989479741755,-124.72209718629097,0.004418506526150962,0.4347629105294063,-0.8110949428861246,0.0058,0.005774243800379251
33,225.0,180.0,270.0,50.249289070334754,37.04870990453647,30.592834708774166,-0.8351694390205335,0.39478288620848145,-0.28681000039143517,0.0057,0.0049990183424126556
34,45.0,0.0,90.0,50.2492890703347,37.048709904536516,30.592834708774298,-0.8351694390205354,0.3947828862084819,-0.28681000039143634,0.0057,0.004999018342412661
35,90.0,225.0,180.0,-115.38808172811511,-47.93656824849973,-35.95980765793892,-0.6358156116876131,0.40254228476879567,-0.6181339435281276,0.0054,0.005939020394978321
36,270.0,315.0,0.0,-115.3880817281152,-47.936568248499896,-35.95980765793895,-0.6358156116876145,0.4025422847687965,-0.6181339435281336,0.0054,0.0059390203949784386
